Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT (mins),Avg CTAT (mins),Cancelled by Customer,Customer Cancellation Reason,Cancelled by Driver,Driver Cancellation Reason,Incomplete Ride,Incomplete Ride Reason,Booking Value (₹),Ride Distance (km),Driver Rating,Customer Rating
21-01-2026,03:01:00,CNR0000001,Cancelled by Driver,CUST46048,Prime Plus,Cubbon Park,Rajajinagar,,,No,,Yes,Personal & Car related issues,No,,112.68,,,
03-01-2026,06:14:00,CNR0000002,Successful,CUST76237,Bike,Indiranagar,Peenya,9,5.8,No,,No,,No,,317.43,22.5,3.8,4.4
26-01-2026,00:48:00,CNR0000003,Successful,CUST30926,eBike,Sarjapur,Basavanagudi,5.8,6.5,No,,No,,No,,404.63,6.4,3.7,4.1
12-01-2026,11:38:00,CNR0000004,Successful,CUST44671,Prime SUV,Whitefield,Koramangala Extension,11.2,7.2,No,,No,,No,,468,2.6,3.6,3.9
21-01-2026,19:56:00,CNR0000005,Successful,CUST57400,Bike,Frazer Town,HSR Layout,6.8,5.2,No,,No,,No,,408.45,7.1,5,4.8
28-01-2026,03:24:00,CNR0000006,Successful,CUST46434,Mini,Devanahalli,Chamrajpet,8.5,3.1,No,,No,,No,,367.4,14.1,4.6,4.5
03-01-2026,19:40:00,CNR0000007,Successful,CUST32431,Bike,Koramangala Extension,MG Road,9.6,3.7,No,,No,,No,,494.82,5.9,4.5,4.3
22-01-2026,10:53:00,CNR0000008,Successful,CUST17331,Prime Plus,Whitefield,Vijayanagar,6.2,3.9,No,,No,,No,,464.34,14.8,4.4,4.6
07-01-2026,20:31:00,CNR0000009,Successful,CUST61856,eBike,Outer Ring Road,Yeshwantpur,6.7,6.9,No,,No,,No,,323.99,16.4,3.9,4.4
29-01-2026,18:25:00,CNR0000010,Successful,CUST57447,Prime Plus,Rajajinagar,Banaswadi,6.9,6.2,No,,No,,No,,929.69,19,3.7,3.7
22-01-2026,13:38:00,CNR0000011,Incomplete,CUST18326,Mini,Kengeri,Vidyaranyapura,,,No,,No,,Yes,Other Issue,320.74,,,
31-01-2026,00:43:00,CNR0000012,Successful,CUST25014,eBike,Rachenahalli,OMR Road,6.8,7.4,No,,No,,No,,144.51,4.7,4.2,4.2
31-01-2026,23:56:00,CNR0000013,Successful,CUST44522,Bike,OMR Road,Ulsoor,6.8,8.8,No,,No,,No,,349.49,5.4,4.8,4.3
07-01-2026,04:23:00,CNR0000014,Incomplete,CUST31174,Bike,Mahadevapura,Kamakhya,,,No,,No,,Yes,Other Issue,107.77,,,
30-01-2026,11:56:00,CNR0000015,Incomplete,CUST50306,Prime Plus,Marathahalli,MG Road,,,No,,No,,Yes,Customer Demand,293.91,,,
03-01-2026,17:49:00,CNR0000016,Incomplete,CUST26483,Prime Plus,Tumkur Road,Hebbal,,,No,,No,,Yes,Customer Demand,448.1,,,
14-01-2026,06:59:00,CNR0000017,Successful,CUST80686,Prime SUV,Koramangala Extension,Bellandur,6.9,6,No,,No,,No,,497.06,27.5,4.5,4.2
17-01-2026,14:07:00,CNR0000018,Successful,CUST42493,Prime Plus,Electronic City,Basavanagudi,9.6,4.2,No,,No,,No,,334.79,10.7,3.5,4.6
02-01-2026,07:04:00,CNR0000019,Successful,CUST14117,Prime SUV,Basavanagudi,Electronic City,13.6,7.8,No,,No,,No,,293.68,7.2,4.3,4.6
29-01-2026,18:36:00,CNR0000020,Successful,CUST71953,Prime Plus,Hebbal,Varthur,9.5,6.3,No,,No,,No,,271.99,4.5,4.1,4.2
24-01-2026,01:43:00,CNR0000021,Successful,CUST95649,eBike,JP Nagar,Marathahalli,6,3.6,No,,No,,No,,443.81,9.6,3.9,3.8
15-01-2026,04:27:00,CNR0000022,Incomplete,CUST34050,Prime Sedan,Outer Ring Road,MG Road,,,No,,No,,Yes,Customer Demand,443.68,,,
18-01-2026,03:03:00,CNR0000023,Incomplete,CUST95477,Bike,Koramangala,Bannerghatta Road,,,No,,No,,Yes,Customer Demand,293.77,,,
07-01-2026,12:57:00,CNR0000024,Incomplete,CUST17685,Prime Plus,Kengeri,Koramangala,,,No,,No,,Yes,Vehicle Breakdown,891.78,,,
10-01-2026,13:44:00,CNR0000025,Successful,CUST82845,eBike,HSR Layout,Kalyan Nagar,7.1,7.6,No,,No,,No,,486.52,9.9,4.4,4.3
24-01-2026,10:03:00,CNR0000026,Incomplete,CUST16572,Bike,Hebbal,Banaswadi,,,No,,No,,Yes,Other Issue,483.35,,,
03-01-2026,05:04:00,CNR0000027,Successful,CUST87992,Auto,Whitefield Phase,MG Road,5.7,6.2,No,,No,,No,,784.27,24.5,4.4,3.6
03-01-2026,13:42:00,CNR0000028,Incomplete,CUST86503,Bike,Kamakhya,Vijayanagar,,,No,,No,,Yes,Customer Demand,225.36,,,
09-01-2026,12:08:00,CNR0000029,Successful,CUST98039,eBike,City Market,Outer Ring Road,6.6,6.9,No,,No,,No,,536.2,2.2,4.2,5
04-01-2026,02:34:00,CNR0000030,Incomplete,CUST37938,Bike,Connaught Place,Rajajinagar,,,No,,No,,Yes,Customer Demand,684.39,,,
06-01-2026,14:53:00,CNR0000031,Incomplete,CUST81200,eBike,City Market,Bagalur,,,No,,No,,Yes,Other Issue,366.48,,,
18-01-2026,09:59:00,CNR0000032,Successful,CUST96951,Auto,Rajajinagar,Connaught Place,9.2,7.3,No,,No,,No,,320.74,22.4,3.9,4.4
23-01-2026,10:13:00,CNR0000033,Successful,CUST93130,Prime SUV,Connaught Place,Banaswadi,6.3,5.5,No,,No,,No,,922.21,26.2,3.6,4.1
09-01-2026,01:00:00,CNR0000034,Incomplete,CUST53719,Prime SUV,Rajajinagar,Devanahalli,,,No,,No,,Yes,Customer Demand,775.29,,,
14-01-2026,17:00:00,CNR0000035,Successful,CUST24663,Auto,Bellandur,Yeshwantpur,5,7.6,No,,No,,No,,790.67,3.8,3.7,3.7
10-01-2026,11:57:00,CNR0000036,Successful,CUST15229,Prime Sedan,Richmond Town,Whitefield Phase,5.8,4.2,No,,No,,No,,411.27,22.4,4.8,4.1
20-01-2026,23:09:00,CNR0000037,Incomplete,CUST41029,Prime SUV,Malleshwaram,Ulsoor,,,No,,No,,Yes,Customer Demand,468.87,,,
26-01-2026,13:51:00,CNR0000038,Successful,CUST97806,Prime SUV,Hosur Road,MG Road,9.7,6.4,No,,No,,No,,553.94,15.2,4.8,4.8
08-01-2026,06:52:00,CNR0000039,Successful,CUST70332,Prime Sedan,City Market,Cubbon Park,8.7,5,No,,No,,No,,258.99,23.3,3.9,3.6
25-01-2026,08:22:00,CNR0000040,Incomplete,CUST94080,Bike,Rammurthy Nagar,Whitefield Phase,,,No,,No,,Yes,Other Issue,111.01,,,
29-01-2026,08:11:00,CNR0000041,Successful,CUST86099,Prime Sedan,Whitefield,JP Nagar,11,6.5,No,,No,,No,,413.78,15.8,4.2,5
04-01-2026,12:57:00,CNR0000042,Cancelled by Driver,CUST85574,Prime Plus,Connaught Place,Whitefield,,,No,,Yes,Personal & Car related issues,No,,421.8,,,
22-01-2026,23:47:00,CNR0000043,Successful,CUST97900,Prime Plus,Chamrajpet,Sarjapur,2.8,7.2,No,,No,,No,,231.75,2.7,4,4.8
24-01-2026,09:32:00,CNR0000044,Successful,CUST50538,eBike,Varthur,Vijayanagar,5.2,7.6,No,,No,,No,,150.79,16.2,4.1,4.9
22-01-2026,23:57:00,CNR0000045,Successful,CUST32810,Bike,Jakkur,City Market,7.6,6.5,No,,No,,No,,651.63,13.5,3.8,4.7
20-01-2026,20:20:00,CNR0000046,Successful,CUST70946,Mini,Brookefield,Whitefield Phase,6.4,7.1,No,,No,,No,,459.57,4.2,4.7,3.8
03-01-2026,09:32:00,CNR0000047,Successful,CUST97012,eBike,Bagalur,Basavanagudi,6.4,5.2,No,,No,,No,,617.2,28,4,4.7
05-01-2026,00:02:00,CNR0000048,Successful,CUST42092,Mini,Bagalur,Mahadevapura,9,7.7,No,,No,,No,,351.28,26.4,3.8,4.5
